,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
367,rio gallegos,-51.6226,-69.2181,13.03,76,26,9.26,AR,1639891180
368,lagunas,-5.2269,-75.6753,23.22,95,98,1.11,PE,1639891180
369,tuatapere,-46.1333,167.6833,19.34,65,42,5.48,NZ,1639891180
370,sosnovo-ozerskoye,52.5249,111.5418,-11.6,90,97,5.95,RU,1639891180
371,sihor,21.7,71.9667,19.48,31,1,5.43,IN,1639891181
372,qaqortoq,60.7167,-46.0333,7.28,86,100,5.03,GL,1639891080
373,jalu,29.0331,21.5482,11.77,83,85,3.39,LY,1639891181
374,anloga,5.7947,0.8973,23.12,75,35,2.17,GH,1639891122
375,ayagoz,47.9714,80.4392,-5.6,69,100,1.13,KZ,1639891182
376,bambous virieux,-20.3428,57.7575,30.14,62,20,1.54,MU,1639891093
377,asau,46.4333,26.4,-0.4,88,89,3.18,RO,1639891182
378,wattegama,6.7989,81.4808,27.6,65,97,4.82,LK,1639891183
379,den helder,52.9599,4.7593,7.82,95,90,4.47,NL,1639891183
380,yar-sale,66.8333,70.8333,-33.58,97,26,3.2,RU,1639891183
381,verkhoyansk,67.5447,133.385,-32.65,99,100,0.2,RU,1639891097
382,riyadh,24.6877,46.7219,17.08,36,96,3.82,SA,1639890910
383,yerbogachen,61.2767,108.0108,-38.89,96,61,1.8,RU,1639891047
384,privas,44.5833,4.5,0.3,90,0,1.71,FR,1639891178
385,dawei,14.0833,98.2,30.04,39,99,5.05,MM,1639891184
386,ugoofaaru,5.6667,73.0,27.41,72,99,3.77,MV,1639891185
387,korem,12.5058,39.5228,12.58,73,56,1.06,ET,1639891185
388,sinnamary,5.3833,-52.95,25.11,88,13,2.6,GF,1639891185
389,auki,-8.7676,160.7034,27.17,83,92,2.54,SB,1639891185
390,two rivers,44.1539,-87.5693,-1.73,75,90,0.89,US,1639891186
391,bulgan,48.8125,103.5347,-3.42,45,6,5.12,MN,1639891186
392,dolores,-36.3132,-57.6792,18.22,85,8,4.3,AR,1639891186
393,courtenay,49.6866,-124.9936,3.34,94,90,1.03,CA,1639891186
394,heinola,61.2056,26.0381,1.05,87,40,5.23,FI,1639891187
395,qesarya,32.5189,34.9046,13.96,61,33,9.57,IL,1639891187
396,sangar,63.9242,127.4739,-41.19,100,97,1.03,RU,1639891187
397,walvis bay,-22.9575,14.5053,15.05,79,2,0.61,NA,1639891187
398,borovskoy,53.8,64.15,-4.94,97,100,2.45,KZ,1639891188
399,pointe michel,15.25,-61.3833,25.69,76,35,7.8,DM,1639891188
400,lompoc,34.6391,-120.4579,8.96,93,1,0.0,US,1639891007
401,soyo,-6.1349,12.3689,24.77,91,100,2.76,AO,1639891188
402,leningradskiy,69.3833,178.4167,-25.6,96,100,5.53,RU,1639891189
403,thinadhoo,0.5333,72.9333,27.24,76,96,1.3,MV,1639891121
404,mnogovershinnyy,53.9353,139.9242,-24.08,85,17,2.82,RU,1639891189
405,dabwali,29.95,74.7333,15.02,14,36,2.3,IN,1639891249
406,solwezi,-12.1688,26.3894,17.4,97,100,1.22,ZM,1639891249
407,aswan,24.0934,32.907,8.61,57,0,2.06,EG,1639891069
408,carauari,-4.8828,-66.8958,22.98,99,99,1.01,BR,1639891250
409,mishan,45.55,131.8833,-11.31,73,58,2.93,CN,1639891250
410,malmyzh,56.5205,50.6818,-8.8,97,99,1.22,RU,1639891251
411,agadez,19.75,10.25,11.21,37,30,3.88,NE,1639891084
412,svarstad,59.399,9.9698,2.78,93,2,1.36,NO,1639891251
413,puerto del rosario,28.5004,-13.8627,13.86,82,0,3.6,ES,1639891251
414,jauja,-11.7758,-75.4966,9.8,87,50,2.3,PE,1639891251
415,karema,-6.8205,30.4389,21.93,85,99,1.95,TZ,1639891252
416,amahai,-3.3333,128.9167,29.5,72,93,1.22,ID,1639891252
417,harper,4.375,-7.7169,26.07,85,80,2.55,LR,1639891252
418,nizhniy kuranakh,58.8353,125.4869,-22.9,94,100,1.23,RU,1639891253
419,vengerovo,55.6848,76.7471,-13.06,95,100,4.33,RU,1639891254
420,manaquiri,-3.3167,-60.35,26.25,94,99,0.63,BR,1639891254
421,kalmunai,7.4167,81.8167,27.76,69,98,5.7,LK,1639891040
422,balint,45.8125,21.8536,1.03,94,93,2.55,RO,1639891254
423,portland,45.5234,-122.6762,6.44,94,90,1.54,US,1639891160
424,nicoya,10.1483,-85.452,23.75,87,27,1.87,CR,1639891255
425,ust-kulom,61.6864,53.6902,-21.75,100,99,0.88,RU,1639891255
426,sao jose da coroa grande,-8.8978,-35.1478,25.33,80,73,3.7,BR,1639891256
427,amapa,1.0,-52.0,21.66,99,96,0.77,BR,1639891256
428,tabat,-2.635,115.2274,31.02,65,100,0.6,ID,1639891256
429,karachi,24.9056,67.0822,17.9,22,12,2.57,PK,1639891256
430,mahibadhoo,3.7833,72.9667,27.82,78,90,7.53,MV,1639891257
431,adrar,20.5022,-10.0711,21.2,58,100,6.55,MR,1639891257
432,neede,52.1342,6.6139,7.36,98,100,5.72,NL,1639891257
433,iquique,-20.2208,-70.1431,19.02,73,99,0.6,CL,1639891258
434,kerugoya,-0.4989,37.2803,17.25,84,92,0.55,KE,1639891189
435,saint-pierre,-21.3393,55.4781,28.99,61,0,3.09,RE,1639891082
436,geraldton,-28.7667,114.6,27.23,44,0,8.75,AU,1639891045
437,alihe,50.5667,123.7167,-12.32,66,38,1.0,CN,1639891259
438,stavern,59.0,10.0333,8.4,94,19,5.83,NO,1639891259
439,talara,-4.5772,-81.2719,20.7,83,100,5.2,PE,1639891259
440,omsukchan,62.5333,155.8,-33.3,97,100,2.2,RU,1639891260
441,berdigestyakh,62.0989,126.6992,-36.04,98,94,1.03,RU,1639891260
442,padang,-0.9492,100.3543,29.03,82,100,1.64,ID,1639891260
443,matay,28.419,30.7792,10.14,63,12,3.57,EG,1639891028
444,dorado,18.4588,-66.2677,23.86,62,18,4.13,PR,1639891261
445,yambio,4.5721,28.3955,22.89,45,67,0.65,SS,1639891261
446,morondava,-20.2833,44.2833,28.7,68,28,2.68,MG,1639891261
447,soligalich,59.0778,42.2864,-8.51,94,100,3.7,RU,1639891322
448,douentza,14.9951,-2.9517,19.51,19,35,1.96,ML,1639891322
449,darhan,49.4867,105.9228,-7.33,78,62,3.27,MN,1639891322
450,xining,36.6167,101.7667,-2.73,32,100,1.13,CN,1639891322
451,varzelandia,-15.7014,-44.0275,19.63,96,100,0.79,BR,1639891323
452,hedaru,-4.5,37.9,23.24,82,31,1.49,TZ,1639891323
453,purpe,64.4803,76.6897,-40.03,100,46,1.64,RU,1639891323
454,san cristobal,7.7669,-72.225,19.1,93,98,0.49,VE,1639891323
455,greenwood,34.1668,-82.1165,17.33,63,90,3.09,US,1639891324
456,chateaubelair,13.2833,-61.25,25.34,69,71,8.06,VC,1639891324
457,carlsbad,33.1581,-117.3506,15.69,81,1,0.0,US,1639891324
458,ukiah,39.1502,-123.2078,7.76,92,1,0.0,US,1639891324
459,glasgow,55.8652,-4.2576,2.61,96,90,1.03,GB,1639891122
460,gravelbourg,49.8834,-106.5512,-4.85,79,100,5.18,CA,1639891325
461,pecos,31.4229,-103.4932,8.36,28,89,4.7,US,1639891325
462,nouadhibou,20.931,-17.0347,18.53,67,100,2.81,MR,1639891325
463,skagen,57.7209,10.5839,6.26,78,8,10.16,DK,1639891325
464,lobito,-12.3481,13.5456,23.62,85,100,0.58,AO,1639891326
465,port hedland,-20.3167,118.5667,44.03,18,11,4.12,AU,1639891326
466,ovre ardal,61.3167,7.8,-1.74,96,97,3.92,NO,1639891326
467,lewisporte,49.2499,-55.0482,-4.79,73,100,8.57,CA,1639891326
468,kosh-agach,50.0,88.6667,-14.36,66,60,0.39,RU,1639891327
469,kalabo,-14.97,22.6814,20.43,76,100,1.2,ZM,1639891327
470,denpasar,-8.65,115.2167,30.81,74,20,4.12,ID,1639891327
471,ilheus,-14.7889,-39.0494,23.71,89,100,1.86,BR,1639891327
472,bambanglipuro,-7.95,110.2833,27.56,72,100,3.29,ID,1639891328
473,nanchang,28.6833,115.8833,13.72,22,0,0.66,CN,1639891328
474,popondetta,-8.7537,148.2534,29.69,69,80,2.04,PG,1639891329
475,mikhaylovskoye,51.8239,79.7172,-6.57,78,100,4.18,RU,1639891330
476,shubarshi,48.5872,57.1869,0.93,92,99,4.44,KZ,1639891330
477,kupang,-10.1667,123.5833,32.32,74,75,4.12,ID,1639891108
478,ixtapa,20.7,-105.2,22.9,88,90,0.0,MX,1639891330
479,sechura,-5.5569,-80.8222,20.82,77,100,5.51,PE,1639891331
480,puerto escondido,15.85,-97.0667,26.46,73,1,0.0,MX,1639891332
481,mahanoro,-19.9,48.8,26.95,78,64,4.9,MG,1639891332
482,la primavera,5.4906,-70.4092,26.32,63,93,2.43,CO,1639891332
483,dwarka,22.2394,68.9678,22.42,37,40,7.65,IN,1639891333
484,teguldet,57.3064,88.1667,-18.88,97,98,1.41,RU,1639891333
485,velingrad,42.0272,23.9957,-3.4,90,60,2.49,BG,1639891333
486,andra,62.5147,65.8878,-22.26,96,98,3.92,RU,1639891333
487,nizhniy tsasuchey,50.5167,115.1333,-7.41,68,36,5.01,RU,1639891334
488,kosino,58.4127,51.2782,-9.12,97,100,1.18,RU,1639891334
489,hawick,55.4227,-2.7867,1.51,90,64,1.54,GB,1639891334
490,hvolsvollur,63.7533,-20.2243,7.12,86,100,2.77,IS,1639891334
491,marathon,44.9,-89.7668,-6.69,86,90,2.57,US,1639891140
492,tambura,5.6,27.4667,22.53,35,66,1.38,SS,1639891395
493,humaita,-7.5061,-63.0208,23.22,98,77,0.74,BR,1639891395
494,nata,8.3333,-80.5167,25.26,89,100,1.24,PA,1639891395
495,yining,29.0361,114.5636,15.28,20,6,0.38,CN,1639891395
496,san matias,-16.3667,-58.4,22.3,98,100,1.51,BO,1639891396
497,hun,29.1268,15.9477,10.0,75,72,6.73,LY,1639891396
498,keti bandar,24.1447,67.4497,20.23,17,21,4.97,PK,1639891396
499,conceicao do araguaia,-8.2578,-49.2647,23.91,94,100,1.87,BR,1639891397
500,kaitangata,-46.2817,169.8464,24.14,45,61,5.28,NZ,1639891397
501,manggar,-2.8833,108.2667,27.36,77,100,2.43,ID,1639891397
502,harlingen,26.1906,-97.6961,20.5,89,90,6.17,US,1639891397
503,lata,40.1629,-8.3327,10.45,77,29,2.75,PT,1639891397
504,farafangana,-22.8167,47.8333,23.48,85,100,5.13,MG,1639891398
505,mackay,-21.15,149.2,29.99,62,40,7.2,AU,1639891398
506,kawakawa,-35.3833,174.0667,23.41,53,2,1.04,NZ,1639891398
507,fairbanks,64.8378,-147.7164,-10.02,83,90,1.54,US,1639891398
508,porto nacional,-10.7081,-48.4172,24.0,94,100,0.09,BR,1639891398
509,praia,14.9215,-23.5087,22.3,83,75,6.17,CV,1639891399
510,marzuq,14.4,46.4667,19.87,45,21,0.36,YE,1639891399
511,vallenar,-28.5708,-70.7581,18.59,65,90,1.82,CL,1639891399
512,zalegoshch,52.9008,36.8869,-2.25,95,100,9.42,RU,1639891399
513,lahaina,20.8783,-156.6825,24.0,75,7,5.26,US,1639891399
514,tual,-5.6667,132.75,29.65,67,100,1.73,ID,1639891400
515,shimoda,34.6667,138.95,11.2,56,3,11.94,JP,1639891308
516,wlodawa,51.55,23.55,4.17,87,100,7.35,PL,1639891400
517,ekhabi,53.5102,142.9671,-18.35,85,74,6.52,RU,1639891400
518,rize,40.9044,40.8949,-3.31,93,100,1.08,TR,1639891401
519,vestmannaeyjar,63.4427,-20.2734,7.65,89,100,10.13,IS,1639891401
520,moerai,-22.4333,-151.3333,25.75,69,1,7.76,PF,1639891401
521,leiyang,26.4024,112.8591,14.52,25,0,1.16,CN,1639891401
522,mandurah,-32.55,115.7,27.86,52,1,5.91,AU,1639891401
523,belize,17.25,-88.75,25.14,99,24,0.99,BZ,1639891402
524,golitsyno,55.6122,36.9833,-1.91,93,90,4.0,RU,1639891402
525,farmington,36.7281,-108.2187,-5.34,79,1,2.57,US,1639891402
526,buala,-8.145,159.5921,27.76,80,100,2.68,SB,1639891402
527,kandi,11.1342,2.9386,18.68,24,1,3.15,BJ,1639891402
528,chilca,-12.5211,-76.7372,19.78,88,44,2.69,PE,1639891403
529,sao joao da barra,-21.6403,-41.0511,22.37,85,68,4.23,BR,1639891403
530,wuzhou,23.4833,111.3167,16.43,28,46,1.61,CN,1639891249
531,asadabad,34.7824,48.1185,2.97,88,24,2.04,IR,1639891403
532,hinton,53.4001,-117.5857,-7.16,95,100,1.59,CA,1639891120
533,les cayes,18.2,-73.75,24.75,75,67,1.73,HT,1639891404
534,faya,18.3851,42.4509,14.06,54,25,0.75,SA,1639891405
535,isakly,54.1333,51.5333,-5.65,97,100,1.89,RU,1639891405
536,moundsville,39.9203,-80.7431,4.93,83,100,3.21,US,1639891405
537,kibaya,-5.3,36.5667,17.35,90,88,2.07,TZ,1639891405
538,kendari,-3.945,122.4989,31.48,59,68,2.83,ID,1639891465
539,salta,-24.7859,-65.4117,25.16,82,90,0.45,AR,1639891466
540,kaolinovo,43.6167,27.1167,0.07,89,22,3.4,BG,1639891466
541,alugan,12.2188,125.4808,27.65,85,96,4.53,PH,1639891466
542,vavozh,56.7751,51.931,-6.25,97,100,0.49,RU,1639891466
543,oum hadjer,13.2954,19.6966,17.69,33,3,4.01,TD,1639891467
544,chapais,49.7834,-74.8492,-14.12,95,100,1.3,CA,1639891467
545,aleksandrov gay,50.147,48.5704,-2.37,95,98,5.4,RU,1639891467
546,aksu,41.1231,80.2644,-1.86,44,67,0.52,CN,1639891468
547,katsuura,35.1333,140.3,10.02,52,6,7.89,JP,1639891468
548,kota kinabalu,5.9749,116.0724,29.99,79,20,2.06,MY,1639890705
549,viedma,-40.8135,-62.9967,20.78,58,11,3.27,AR,1639891469
550,shellbrook,53.2168,-106.4011,-19.43,94,100,3.78,CA,1639891469
551,nioro,13.35,-15.75,22.51,42,27,6.04,GM,1639891469
552,cozumel,20.5083,-86.9458,25.06,93,15,3.53,MX,1639891470
553,abu kamal,34.4506,40.9171,11.26,59,26,1.78,SY,1639891470
554,vega de alatorre,20.0333,-96.6333,23.72,88,5,2.05,MX,1639891470
555,lima,-12.0432,-77.0282,18.83,79,40,5.66,PE,1639891471
556,del rio,29.3627,-100.8968,12.46,49,90,6.17,US,1639891471
557,sibut,5.718,19.0739,24.52,35,99,1.65,CF,1639891471
558,salcininkai,54.3,25.3833,3.28,96,100,7.48,LT,1639891471
